DEVICE_ID|DEVICE_HOSTNAME|DEVICE_IP_STRING|DEVICE_SOURCE_ID|DEVICE_SOURCE_OS_NAME|ORG_L1_ID|ORG_ID|ORG_SOURCE_ID|SOURCE_DEV_ID|SOURCE_DEV_CUST_DEVICE_NAME|SOURCE_DEV_MACHINE_HOST_NAME|SOURCE_DEV_MACHINE_PLATFORM|SOURCE_DEV_CUST_ID|SOURCE_DEV_STATUS|SOURCE_DEV_SERVICE_NAME|SOURCE_DEV_MANUFACTURER|SOURCE_DEV_SOFTWARE_VERSION|SOURCE_DEV_SENSOR_TYPE|SOURCE_DEV_PRIMARY_FUNCTION|SOURCE_DEV_PRIMARY_APPLICATION|SOURCE_DEV_IDS_CONFIG_TYPE|SOURCE_DEV_NETWORK_SEG_TYPE|SOURCE_DEV_INLINE_APPLIANCE_MODE|SOURCE_DEV_STACKED_FLAG|SOURCE_DEV_MANAGED_BY|SOURCE_DEV_MONITORED_BY|SOURCE_DEV_CLUSTER_FW_NAME|SOURCE_DEV_IDS_CONFIG_TYPE2|SOURCE_DEV_FW_TYPE_AND_VER|SOURCE_DEV_DEFAULT_GATEWAY|SOURCE_DEV_IP_EXT_STRING|SOURCE_DEV_OS_NAME|SOURCE_DEV_NLR_THRESHOLD|SOURCE_DEV_POLL_PERIOD|SOURCE_DEV_SITE_NAME|SOURCE_DEV_SITE_ID|SOURCE_DEV_DATA_RETENTION_PERIOD|SOURCE_DEV_INDEX_RETENTION_PERIOD|SOURCE_DEV_TIMEZONE|SOURCE_CUST_ID|SOURCE_CUST_NAME|SOURCE_CUST_PARTNER_ID|SOURCE_CUST_PARTNER_NAME|SOURCE_CUST_CATEGORY|SOURCE_CUST_INDUSTRY|SOURCE_CUST_REGULATED|SOURCE_CUST_MIDS|SOURCE_CUST_NUM_IDS|SOURCE_CUST_MPS|SOURCE_CUST_MFS|SOURCE_CUST_NUM_FW|SOURCE_CUST_SELM|SOURCE_CUST_VMS|SOURCE_CUST_NUM_EXT_IP|SOURCE_CUST_NUM_INT_IP|SOURCE_CUST_NUM_SCANNERS|SOURCE_CUST_LMS|SOURCE_CUST_EAM|SOURCE_CUST_NUM_DEVICES|SOURCE_CUST_THIRD_PARTY|SOURCE_CUST_SERVICE_NAME|SOURCE_CUST_SIA|SOURCE_CUST_SIA_NAME|SOURCE_CUST_PCI_DSS|SOURCE_CUST_HIPAA|SOURCE_CUST_GLBA|SOURCE_CUST_MRR|SOURCE_CUST_STATUS|INDUSTRY_ID|IND_SECTION_CD|IND_SECTION_NAME|IND_SECTION_SHORT_NAME|IND_DIVISION_CD|IND_DIVISION_NAME|IND_DIVISION_SHORT_NAME|CONS_DB_IP_STRING|CONS_DB_HOSTNAME|FW_DB_IP_STRING|FW_DB_HOSTNAME|LMS_AGG_IP_STRING|LMS_AGG_HOSTNAME
|7677-pos3|10.225.245.63|SA0000000738550|windows 2000 server|8578|8578|CIDD706804|SA0000000738550|7677-pos3|7677-pos3|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7680-2955|10.225.246.70|SA0000000735267|windows 2000 server|8578|8578|CIDD706804|SA0000000735267|7680-2955|7680-2955|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7680-pos1|10.225.246.61|SA0000000735261|windows 2000 server|8578|8578|CIDD706804|SA0000000735261|7680-pos1|7680-pos1|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7680-pos2|10.225.246.62|SA0000000735262|windows 2000 server|8578|8578|CIDD706804|SA0000000735262|7680-pos2|7680-pos2|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7680-pos3|10.225.246.63|SA0000000735266|windows 2000 server|8578|8578|CIDD706804|SA0000000735266|7680-pos3|7680-pos3|Other|CIDD706804|inactive|selm - host - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7683-2958|10.225.247.70|SA0000000734821|windows 2000 server|8578|8578|CIDD706804|SA0000000734821|7683-2958|7683-2958|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7683-pos1|10.225.247.61|SA0000000734815|windows 2000 server|8578|8578|CIDD706804|SA0000000734815|7683-pos1|7683-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7683-pos2|10.225.247.62|SA0000000734823|windows 2000 server|8578|8578|CIDD706804|SA0000000734823|7683-pos2|7683-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7683-pos3|10.225.247.63|SA0000000734817|windows 2000 server|8578|8578|CIDD706804|SA0000000734817|7683-pos3|7683-pos3|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7785-0000|10.225.248.70|SA0000000733200|windows 2000 server|8578|8578|CIDD706804|SA0000000733200|7785-0000|7785-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7785-pos1|10.225.248.61|SA0000000733204|windows 2000 server|8578|8578|CIDD706804|SA0000000733204|7785-pos1|7785-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7785-pos2|10.225.248.62|SA0000000733202|windows 2000 server|8578|8578|CIDD706804|SA0000000733202|7785-pos2|7785-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7801-0000|10.225.250.70|SA0000000738448|windows 2000 server|8578|8578|CIDD706804|SA0000000738448|7801-0000|7801-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7801-pos1|10.225.250.61|SA0000000738449|windows 2000 server|8578|8578|CIDD706804|SA0000000738449|7801-pos1|7801-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7801-pos2|10.225.250.62|SA0000000735306|windows 2000 server|8578|8578|CIDD706804|SA0000000735306|7801-pos2|7801-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7832-0000|10.225.253.70|SA0000000741626|windows 2000 server|8578|8578|CIDD706804|SA0000000741626|7832-0000|7832-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7832-pos1|10.225.253.61|SA0000000741627|windows 2000 server|8578|8578|CIDD706804|SA0000000741627|7832-pos1|7832-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7832-pos2|10.225.253.62|SA0000000735291|windows 2000 server|8578|8578|CIDD706804|SA0000000735291|7832-pos2|7832-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7912-0000|10.226.1.70|SA0000000738502|windows 2000 server|8578|8578|CIDD706804|SA0000000738502|7912-0000|7912-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7912-pos1|10.226.1.61|SA0000000735343|windows 2000 server|8578|8578|CIDD706804|SA0000000735343|7912-pos1|7912-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7912-pos2|10.226.1.62|SA0000000738503|windows 2000 server|8578|8578|CIDD706804|SA0000000738503|7912-pos2|7912-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7924-0000|10.226.3.70|SA0000000738504|windows 2000 server|8578|8578|CIDD706804|SA0000000738504|7924-0000|7924-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7924-pos1|10.226.3.61|SA0000000738505|windows 2000 server|8578|8578|CIDD706804|SA0000000738505|7924-pos1|7924-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7924-pos2|10.226.3.62|SA0000000738506|windows 2000 server|8578|8578|CIDD706804|SA0000000738506|7924-pos2|7924-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7955-0000|10.226.10.70|SA0000000735234|windows 2000 server|8578|8578|CIDD706804|SA0000000735234|7955-0000|7955-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7955-pos1|10.226.10.61|SA0000000735233|windows 2000 server|8578|8578|CIDD706804|SA0000000735233|7955-pos1|7955-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7955-pos2|10.226.10.62|SA0000000742088|windows 2000 server|8578|8578|CIDD706804|SA0000000742088|7955-pos2|7955-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7959-0000|10.226.11.70|SA0000000735212|windows 2000 server|8578|8578|CIDD706804|SA0000000735212|7959-0000|7959-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7959-pos1|10.226.11.61|SA0000000735214|windows 2000 server|8578|8578|CIDD706804|SA0000000735214|7959-pos1|7959-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7959-pos2|10.226.11.62|SA0000000735211|windows 2000 server|8578|8578|CIDD706804|SA0000000735211|7959-pos2|7959-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7973-2916|10.226.16.70|SA0000000738488|windows 2000 server|8578|8578|CIDD706804|SA0000000738488|7973-2916|7973-2916|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7973-pos1|10.226.16.61|SA0000000738489|windows 2000 server|8578|8578|CIDD706804|SA0000000738489|7973-pos1|7973-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7973-pos2|10.226.16.62|SA0000000735317|windows 2000 server|8578|8578|CIDD706804|SA0000000735317|7973-pos2|7973-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7973-pos3|10.226.16.63|SA0000000738490|windows 2000 server|8578|8578|CIDD706804|SA0000000738490|7973-pos3|7973-pos3|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7984-2918|10.226.17.70|SA0000000735185|windows 2000 server|8578|8578|CIDD706804|SA0000000735185|7984-2918|7984-2918|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7984-pos1|10.226.17.61|SA0000000735186|windows 2000 server|8578|8578|CIDD706804|SA0000000735186|7984-pos1|7984-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7984-pos3|10.226.17.63|SA0000000735187|windows 2000 server|8578|8578|CIDD706804|SA0000000735187|7984-pos3|7984-pos3|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7984-pos4|10.226.17.64|SA0000000735184|windows 2000 server|8578|8578|CIDD706804|SA0000000735184|7984-pos4|7984-pos4|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7987-0000|10.226.18.70|SA0000000741619|windows 2000 server|8578|8578|CIDD706804|SA0000000741619|7987-0000|7987-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7987-pos1|10.226.18.61|SA0000000735292|windows 2000 server|8578|8578|CIDD706804|SA0000000735292|7987-pos1|7987-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7987-pos2|10.226.18.62|SA0000000741620|windows 2000 server|8578|8578|CIDD706804|SA0000000741620|7987-pos2|7987-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7988-0000|10.226.19.70|SA0000000733338|windows 2000 server|8578|8578|CIDD706804|SA0000000733338|7988-0000|7988-0000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7988-pos1|10.226.19.61|SA0000000733342|windows 2000 server|8578|8578|CIDD706804|SA0000000733342|7988-pos1|7988-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7988-pos2|10.226.19.62|SA0000000733337|windows 2000 server|8578|8578|CIDD706804|SA0000000733337|7988-pos2|7988-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|7pts-dc|172.30.130.10|S00000007017832|windows 2003|8578|8578|CIDS704698|S00000007017832|7pts-dc|7pts-dc|Generic Intel|CIDS704698|inactive|selm standard|||||||||||||||||||||||||CIDS704698|Franklin Bank|CID001826|Direct|managed_service|60: depository institutions|yes|yes||yes|yes||yes|yes|256|||yes||||||||||1136.0|inactive|12|k|financial and insurance activities|finance and insurance|64|financial service activities, except insurance and pension funding|financial services||||||
|7w6d|192.168.20.230|SA0000000743656|other|8578|8578|CIDD706089|SA0000000743656|7w6d|7w6d|Cisco 3560 Switch|CIDD706089|inactive|selm - server - standard|||||||||||||||||||||||||CIDD706089|Orange County, John Wayne Airport|CID001826|Direct|managed_service|45: transportation by air|yes|yes||yes|yes||yes|unk||||yes||||||||||3422.88|active|16|h|transportation and storage|transport and storage|51|air transport|air transport||||||
|8000-4000|10.226.21.70|SA0000000735092|windows 2000 server|8578|8578|CIDD706804|SA0000000735092|8000-4000|8000-4000|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|8000-pos1|10.226.21.61|SA0000000734917|windows 2000 server|8578|8578|CIDD706804|SA0000000734917|8000-pos1|8000-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|8000-pos2|10.226.21.62|SA0000000735150|windows 2000 server|8578|8578|CIDD706804|SA0000000735150|8000-pos2|8000-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|8001-4001|10.226.22.70|SA0000000735385|windows 2000 server|8578|8578|CIDD706804|SA0000000735385|8001-4001|8001-4001|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|8001-pos1|10.226.22.61|SA0000000734859|windows 2000 server|8578|8578|CIDD706804|SA0000000734859|8001-pos1|8001-pos1|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
|8001-pos2|10.226.22.62|SA0000000734932|windows 2000 server|8578|8578|CIDD706804|SA0000000734932|8001-pos2|8001-pos2|Other|CIDD706804|active|selm - server - select|||||||||||||||||||||||||CIDD706804|Cumberland Farms|CID001826|Direct|managed_service|54: food stores|yes|yes||yes|yes||yes|unk||||yes||||||||||1233.35|active|10|g|wholesale and retail trade; repair of motor vehicles and motorcycles|retail, wholesale, vehicle repair|47|retail trade, except of motor vehicles and motorcycles|retail trade||||||
